line_no,channel,status,tx_rnti,dst_l2_id,harq_id,tb_size,tbler,sinr_avg,sinr_min,reason,frame,subframe,slot
881,PSCCH,FAIL,3,1,,,0.125375,1.16722,0.203601,decoded_overlap,10,3,1
883,PSSCH,FAIL,3,1,0,4069,1,0.996152,0.453465,decode_fail,,,
885,PSSCH,FAIL,21,12,2,4069,1,41.8664,1.13753,decode_fail,,,
887,PSSCH,FAIL,19,14,1,2403,1,0.972274,0.4916,decode_fail,,,
889,PSSCH,OK,5,16,2,369,0.0001,30.9809,30.3669,,,,
897,PSCCH,FAIL,14,9,,,0.687838,0.843,0.779701,decoded_overlap,10,4,0
899,PSCCH,FAIL,19,1,,,1,0.0854113,0.0831169,decoded_overlap,10,4,0
903,PSCCH,FAIL,19,1,,,1,0.13041,0.123312,decoded_overlap,10,4,0
905,PSCCH,FAIL,14,9,,,1,0.0382016,0.0348565,decoded_overlap,10,4,0
909,PSCCH,FAIL,14,9,,,0.967105,0.660624,0.650154,decoded_overlap,10,4,0
911,PSCCH,FAIL,19,1,,,1,0.11227,0.107919,decoded_overlap,10,4,0
914,PSCCH,OK,19,1,,,0,27.1489,25.6378,,10,4,0
917,PSCCH,FAIL,14,9,,,1,0.0111622,0.0109387,decoded_overlap,10,4,0
921,PSCCH,FAIL,14,9,,,0.687838,0.839168,0.829013,decoded_overlap,10,4,0
923,PSCCH,FAIL,19,1,,,1,0.0415758,0.0413508,decoded_overlap,10,4,0
927,PSCCH,FAIL,14,9,,,1,0.00377458,0.00352449,decoded_overlap,10,4,0
929,PSCCH,FAIL,19,1,,,1,0.000101081,8.70311e-05,decoded_overlap,10,4,0
933,PSCCH,FAIL,19,1,,,1,0.257363,0.226922,decoded_overlap,10,4,0
935,PSCCH,FAIL,14,9,,,1,0.112254,0.107114,decoded_overlap,10,4,0
938,PSCCH,OK,14,9,,,0,2.60727,2.16955,,10,4,0
941,PSCCH,FAIL,19,1,,,1,0.0308128,0.0306809,decoded_overlap,10,4,0
944,PSCCH,OK,14,9,,,0.125375,0.991827,0.958409,,10,4,0
947,PSCCH,FAIL,19,1,,,1,0.194981,0.190535,decoded_overlap,10,4,0
950,PSCCH,OK,14,9,,,0.0015,1.17983,1.16715,,10,4,0
952,PSCCH,FAIL,19,1,,,0.967105,0.607326,0.55873,decoded_overlap,10,4,0
957,PSCCH,FAIL,14,9,,,1,0.293131,0.280116,decoded_overlap,10,4,0
959,PSCCH,FAIL,19,1,,,1,0.0407894,0.0402716,decoded_overlap,10,4,0
963,PSCCH,FAIL,14,9,,,1,0.307973,0.289205,decoded_overlap,10,4,0
