frame_index,timestamp,request_id,source_node,target_node,area_id,upload_type,planned_bytes,rlc_tx_count,rlc_rx_count,rlc_drop_count,phy_schedule_count,pscch_ok_count,pscch_fail_count,pssch_ok_count,pssch_fail_count,harq_ack_count,harq_nack_count,harq_timeout_count,cam_received,terminal_state
1,000062,58,1,8,,member_to_leader,2816,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
1,000062,59,8,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,0,0,0,0,0,rlc_tx_no_rx
1,000062,60,4,12,,member_to_leader,208,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
1,000062,61,12,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,0,0,0,0,0,rlc_tx_no_rx
1,000062,62,8,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
1,000062,63,10,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
1,000062,64,12,4,,member_to_leader,1536,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
1,000062,65,4,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,0,0,0,0,0,rlc_tx_no_rx
1,000062,66,8,1,,member_to_leader,4112,2,0,0,0,0,0,0,0,0,0,0,0,rlc_tx_no_rx
1,000062,67,1,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
1,000062,68,12,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
1,000062,69,7,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,0,0,0,0,0,rlc_tx_no_rx
1,000062,70,20,16,,member_to_leader,12112,4,2,0,0,0,0,2,2,0,0,0,0,rlc_rx_only
1,000062,71,16,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,0,0,0,0,0,rlc_tx_no_rx
1,000062,72,7,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,0,0,0,0,0,rlc_tx_no_rx
1,000062,73,10,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
1,000062,74,4,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,0,0,0,0,0,rlc_tx_no_rx
1,000062,75,9,10,,member_to_leader,3072,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
