upload_type,planned_requests,observed_cam_received,bridge_observed_delivery_ratio,planned_bytes,observed_bytes,avg_delay_ms,p95_delay_ms,max_delay_ms
leader_to_rsu,90,5,0.05555555555555555,180000,10000,27.6,114.0,114.0
member_to_leader,47,1,0.02127659574468085,172400,2048,4.0,4.0,4.0
