channel,status,reason,count,channel_ratio,avg_sinr,avg_sinr_min,avg_tbler
PSCCH,FAIL,decoded_overlap,441,0.5098265895953757,0.2067408998888887,0.18541088023151908,0.9787564671201815
PSCCH,FAIL,error_model,38,0.04393063583815029,0.4224501910605263,0.3941215918052632,0.892031894736842
PSCCH,OK,,386,0.446242774566474,45580.9547073394,42468.80252978238,0.012104862694300517
PSSCH,FAIL,decode_fail,40,0.6666666666666666,1035.1482166486485,2.7664240351351355,1.0
PSSCH,OK,,20,0.3333333333333333,197109.72673157894,185409.77885263157,0.0003622463157894737
