scenario_id,timestamp,receiver_id,receiver_policy,coperception_yaml,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,sgcp_frame_mbps_budget,sgcp_frame_budget_bytes,sgcp_frame_budget_original_bytes,sgcp_frame_budget_admitted_bytes,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000064,1,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,1;2;8;11,1;2;11,2;11,"{""2"": 37, ""11"": 37}","{""1"": 4921, ""2"": 4350, ""11"": 4643}",143888,41.317018909899886,10,40.0,100.0,200.0,2500000,670480,670480,1,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:7,,27,40,
2026_07_15_01_26_56,000064,5,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,5;9;19;20,5;9;20,9;20,"{""9"": 37, ""20"": 37}","{""5"": 4913, ""9"": 4436, ""20"": 4854}",148640,43.19466073414905,10,40.0,100.0,200.0,2500000,670480,670480,1,ns3,899,0.5,10,12,28,,,[],[],9>5:1;20>5:5,,19,31,
2026_07_15_01_26_56,000064,7,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,4;7;12;17,7;17;4,17;4,"{""4"": 37, ""17"": 37}","{""4"": 4721, ""7"": 4911, ""17"": 4809}",152480,42.79421579532814,10,40.0,100.0,200.0,2500000,670480,670480,1,ns3,899,0.5,10,12,28,,,[],[],4>7:6;17>7:2,,27,38,
2026_07_15_01_26_56,000064,13,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,6;13;14;15,13;14;15,14;15,"{""14"": 37, ""15"": 1}","{""13"": 4794, ""14"": 4972, ""15"": 3}",79600,44.24471635150167,10,40.0,100.0,200.0,2500000,670480,670480,1,ns3,899,0.5,10,12,28,,,[],[],14>13:3;15>13:9,,0,18,
2026_07_15_01_26_56,000064,16,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,3;10;16;18,16;3;10,3;10,"{""3"": 37, ""10"": 28}","{""3"": 4785, ""10"": 4332, ""16"": 4850}",145872,42.58064516129032,10,40.0,100.0,200.0,2500000,670480,670480,1,ns3,899,0.5,10,12,28,,,[],[],3>16:4;10>16:8,,22,43,
2026_07_15_01_26_56,000066,1,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,1;2;8;11,1;2;11,2;11,"{""2"": 37, ""11"": 37}","{""1"": 4922, ""2"": 4357, ""11"": 4643}",144000,41.317018909899886,10,40.0,100.0,200.0,2500000,677520,677520,1,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:7,,28,41,
2026_07_15_01_26_56,000066,3,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,3;6;15;18,3;6;18,6;18,"{""6"": 37, ""18"": 35}","{""3"": 4982, ""6"": 4493, ""18"": 4754}",147952,42.304783092324804,10,40.0,100.0,200.0,2500000,677520,677520,1,ns3,899,0.5,10,12,28,,,[],[],6>3:1;18>3:8,,13,24,
2026_07_15_01_26_56,000066,5,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,5;9;16;20,5;9;16,9;16,"{""9"": 37, ""16"": 37}","{""5"": 4912, ""9"": 4435, ""16"": 4787}",147552,42.598442714126804,10,40.0,100.0,200.0,2500000,677520,677520,1,ns3,899,0.5,10,12,28,,,[],[],9>5:2;16>5:5,,22,32,
2026_07_15_01_26_56,000066,10,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,7;10;13;19,10;7;13,7;13,"{""7"": 37, ""13"": 37}","{""7"": 4796, ""10"": 4946, ""13"": 4644}",151040,42.67853170189099,10,40.0,100.0,200.0,2500000,677520,677520,1,ns3,899,0.5,10,12,28,,,[],[],7>10:3;13>10:6,,23,44,
2026_07_15_01_26_56,000066,17,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,4;12;14;17,17;14;4,14;4,"{""4"": 15, ""14"": 37}","{""4"": 478, ""14"": 4958, ""17"": 4984}",86976,44.12013348164627,10,40.0,100.0,200.0,2500000,677520,677520,1,ns3,899,0.5,10,12,28,,,[],[],4>17:9;14>17:4,,8,32,
