label,display,source,clustering,ap_03,ap_05,ap_07,raw_lidar_mbps,box_mbps,total_mbps,avg_source_cavs,avg_selected_grids,receiver_policy,cluster_count,num_channels,bandwidth_mhz,channel_estimator,ns3_tb_size_bytes,ns3_symbols_per_slot,ns3_mcs,note
sgcp_cv,SGCP-CV (ours),proposed,cov_coalition_game,0.87,0.80,0.36,60.181354146341455,0.7220760975609755,60.90343024390243,2.67,85.73,all-cluster-heads,6,10,40.0,ns3,899,12,28,Proposed V-only coalition formation plus C->V potential-game scheduler; selected main operating point from Raw LiDAR Mbps Budget sweep.
random_balanced,Random balanced,heuristic,random_balanced,0.79,0.64,0.30,55.077244878048774,0.7310360975609754,55.80828097560975,3.00,67.64,all-cluster-heads,5,10,40.0,ns3,899,12,28,Deterministic random balanced clusters.
distance_greedy,Distance-greedy,heuristic,distance_greedy,0.80,0.69,0.35,56.32346536585365,0.577810731707317,56.90127609756097,3.00,70.47,all-cluster-heads,5,10,40.0,ns3,899,12,28,Greedy proximity clusters with center-nearest head election.
density_greedy,Density/quality-greedy,heuristic,density_greedy_cluster,0.73,0.62,0.29,46.254704390243894,0.749580487804878,47.00428487804877,3.00,61.00,all-cluster-heads,5,10,40.0,ns3,899,12,28,Greedy sensing-density and incremental-coverage clusters.
seac_social,SeAC-inspired,paper baseline,seac_social_adaptive,0.82,0.72,0.36,56.301486829268285,0.6277931707317073,56.92927999999999,3.00,69.97,all-cluster-heads,5,10,40.0,ns3,899,12,28,"Adapted from SeAC, IEEE T-ITS 2023: SDN/social information is mapped to same-frame direction, relative speed, distance and sensing-field overlap because the CARLA dump has no route/social history."
hho_vanet,HHOCNET-inspired,paper baseline,hho_vanet,0.79,0.68,0.32,54.595839999999995,0.6815219512195122,55.27736195121951,3.00,68.20,all-cluster-heads,5,10,40.0,ns3,899,12,28,"Adapted from HHO-based VANET clustering, IEEE T-ITS 2023: multi-start Harris-Hawks-style partition search over proximity, relative mobility and sensing coverage."
