timestamp,area_id,source_id,target_id,upload_type,bytes
000060,12_9,5,RSU,leader_to_rsu,2000
000060,13_2,11,RSU,leader_to_rsu,2000
000060,13_0,2,RSU,leader_to_rsu,2000
000060,11_7,9,RSU,leader_to_rsu,2000
000060,13_3,11,RSU,leader_to_rsu,2000
000060,14_11,7,RSU,leader_to_rsu,2000
000060,14_1,1,RSU,leader_to_rsu,2000
000060,15_4,8,RSU,leader_to_rsu,2000
000060,12_4,10,RSU,leader_to_rsu,2000
000060,14_3,8,1,member_to_leader,10000
000060,14_3,1,RSU,leader_to_rsu,2000
000060,17_5,4,12,member_to_leader,10000
000060,17_5,12,RSU,leader_to_rsu,2000
000060,18_7,12,RSU,leader_to_rsu,2000
000060,15_3,8,RSU,leader_to_rsu,2000
000060,17_7,12,RSU,leader_to_rsu,2000
000060,16_7,12,RSU,leader_to_rsu,2000
000060,14_9,7,RSU,leader_to_rsu,2000
000060,12_10,16,RSU,leader_to_rsu,2000
000060,14_10,7,RSU,leader_to_rsu,2000
000060,12_5,10,RSU,leader_to_rsu,2000
000060,15_6,4,RSU,leader_to_rsu,2000
000060,11_5,10,9,member_to_leader,10000
000060,11_5,9,RSU,leader_to_rsu,2000
000060,13_9,7,20,member_to_leader,10000
000060,13_9,20,RSU,leader_to_rsu,2000
000060,16_8,12,4,member_to_leader,10000
000060,16_8,4,RSU,leader_to_rsu,2000
000060,15_2,1,8,member_to_leader,10000
000060,15_2,8,RSU,leader_to_rsu,2000
000060,11_8,9,19,member_to_leader,10000
000060,11_8,19,RSU,leader_to_rsu,2000
000060,11_4,10,RSU,leader_to_rsu,2000
000060,12_3,11,RSU,leader_to_rsu,2000
000060,15_8,7,4,member_to_leader,10000
000060,15_8,4,RSU,leader_to_rsu,2000
000060,16_5,12,4,member_to_leader,10000
000060,16_5,4,RSU,leader_to_rsu,2000
000060,16_4,4,12,member_to_leader,10000
000060,16_4,12,RSU,leader_to_rsu,2000
000060,12_7,10,20,member_to_leader,10000
000060,12_7,20,RSU,leader_to_rsu,2000
000060,12_13,16,3,member_to_leader,10000
000060,12_13,3,RSU,leader_to_rsu,2000
000060,15_9,7,RSU,leader_to_rsu,2000
000060,6_13,14,RSU,leader_to_rsu,2000
000060,10_6,19,RSU,leader_to_rsu,2000
000060,9_6,13,RSU,leader_to_rsu,2000
000060,12_11,16,RSU,leader_to_rsu,2000
000060,16_6,4,12,member_to_leader,10000
000060,16_6,12,RSU,leader_to_rsu,2000
000060,15_7,12,4,member_to_leader,10000
000060,15_7,4,RSU,leader_to_rsu,2000
000060,11_6,10,9,member_to_leader,10000
000060,11_6,9,RSU,leader_to_rsu,2000
000060,14_2,1,RSU,leader_to_rsu,2000
000060,9_5,13,RSU,leader_to_rsu,2000
000060,13_1,11,2,member_to_leader,10000
000060,13_1,2,RSU,leader_to_rsu,2000
000060,12_2,11,RSU,leader_to_rsu,2000
000060,10_7,9,13,member_to_leader,10000
000060,10_7,13,RSU,leader_to_rsu,2000
