scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,1,all-cavs,selective_edgecooper_global,grid,,,,,,,coalition_game,6,100.0,1;2;10;11,1,,{},"{""1"": 4918}",0,0.0,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,,15,16,
2026_07_15_01_26_56,000060,2,all-cavs,selective_edgecooper_global,grid,,,,,,,coalition_game,6,100.0,1;2;10;11,2,,{},"{""2"": 4863}",0,0.0,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,,14,23,
2026_07_15_01_26_56,000060,3,all-cavs,selective_edgecooper_global,grid,,,,,,,coalition_game,6,100.0,3;17;18,3,,{},"{""3"": 4977}",0,0.0,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,,16,7,
2026_07_15_01_26_56,000060,4,all-cavs,selective_edgecooper_global,grid,,,,,,,coalition_game,6,100.0,4;8;12,4;8,8,"{""8"": 53}","{""4"": 4886, ""8"": 4784}",76544,4.257174638487208,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,8,25,30,
2026_07_15_01_26_56,000060,5,all-cavs,selective_edgecooper_global,grid,,,,,,,coalition_game,6,100.0,5;7;16;20,5,,{},"{""5"": 4909}",0,0.0,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,,12,15,
2026_07_15_01_26_56,000060,6,all-cavs,selective_edgecooper_global,grid,,,,,,,coalition_game,6,100.0,6;15,6,,{},"{""6"": 4556}",0,0.0,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,,10,13,
2026_07_15_01_26_56,000060,7,all-cavs,selective_edgecooper_global,grid,,,,,,,coalition_game,6,100.0,5;7;16;20,7,,{},"{""7"": 4908}",0,0.0,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,,13,14,
2026_07_15_01_26_56,000060,8,all-cavs,selective_edgecooper_global,grid,,,,,,,coalition_game,6,100.0,4;8;12,8,,{},"{""8"": 4838}",0,0.0,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,,8,23,
2026_07_15_01_26_56,000060,9,all-cavs,selective_edgecooper_global,grid,,,,,,,coalition_game,6,100.0,9;13;14;19,9,,{},"{""9"": 4858}",0,0.0,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,,16,19,
2026_07_15_01_26_56,000060,10,all-cavs,selective_edgecooper_global,grid,,,,,,,coalition_game,6,100.0,1;2;10;11,10,,{},"{""10"": 4953}",0,0.0,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,,18,30,
