scenario_id,timestamp,method,budget,selected_count,non_ego_selected_count,selected_agents,pred_count,gt_count
2026_07_15_02_33_21,000060,random,5,5,4,1;11;19;12;14,24,51
2026_07_15_02_33_21,000060,random,10,10,9,1;18;14;10;17;11;15;16;7;20,47,68
2026_07_15_02_33_21,000062,random,5,5,4,1;19;11;5;17,25,50
2026_07_15_02_33_21,000062,random,10,10,9,1;13;15;19;9;5;16;4;7;11,53,69
2026_07_15_02_33_21,000064,random,5,5,4,1;8;16;15;13,25,61
2026_07_15_02_33_21,000064,random,10,10,9,1;4;2;14;18;5;15;7;13;6,44,66
2026_07_15_02_33_21,000066,random,5,5,4,1;13;4;10;18,25,53
2026_07_15_02_33_21,000066,random,10,10,9,1;5;7;15;9;8;11;16;14;4,50,69
2026_07_15_02_33_21,000068,random,5,5,4,1;10;13;19;8,19,49
2026_07_15_02_33_21,000068,random,10,10,9,1;10;5;7;13;17;20;9;18;8,34,57
2026_07_15_02_33_21,000070,random,5,5,4,1;7;11;17;14,27,47
2026_07_15_02_33_21,000070,random,10,10,9,1;10;11;6;4;2;15;3;20;18,55,69
2026_07_15_02_33_21,000072,random,5,5,4,1;18;7;5;6,30,49
2026_07_15_02_33_21,000072,random,10,10,9,1;20;10;4;5;14;9;8;13;3,38,54
2026_07_15_02_33_21,000074,random,5,5,4,1;17;12;9;4,19,53
2026_07_15_02_33_21,000074,random,10,10,9,1;20;11;16;7;2;15;18;10;14,51,67
2026_07_15_02_33_21,000076,random,5,5,4,1;18;16;19;5,19,42
2026_07_15_02_33_21,000076,random,10,10,9,1;12;14;2;16;19;13;18;7;3,29,65
2026_07_15_02_33_21,000078,random,5,5,4,1;18;20;4;8,27,50
2026_07_15_02_33_21,000078,random,10,10,9,1;19;20;8;6;18;12;5;9;4,43,68
2026_07_15_02_33_21,000080,random,5,5,4,1;15;7;9;5,32,50
2026_07_15_02_33_21,000080,random,10,10,9,1;17;9;3;11;4;18;12;2;5,42,66
