timestamp,agent_count,area_count,delta_g,objective,greedy_value,optimal_value,absolute_gap,relative_gap,greedy_mean_conf,optimal_mean_conf,greedy_packet_count,optimal_packet_count,greedy_max_load,optimal_max_load,candidate_combinations
000060,6,3,0.050000,O3_confidence_latency_ratio,0.689655,0.714286,0.024631,0.034483,1.000000,1.000000,3,4,3,2,68921
000060,6,3,0.075000,O3_confidence_latency_ratio,0.689655,0.714286,0.024631,0.034483,1.000000,1.000000,3,4,3,2,68921
000060,6,3,0.100000,O3_confidence_latency_ratio,0.689655,0.714286,0.024631,0.034483,1.000000,1.000000,3,4,3,2,68921
000060,6,3,0.125000,O3_confidence_latency_ratio,0.689655,0.714286,0.024631,0.034483,1.000000,1.000000,3,4,3,2,68921
000062,6,3,0.050000,O3_confidence_latency_ratio,0.689655,0.714286,0.024631,0.034483,1.000000,1.000000,3,4,3,2,68921
000062,6,3,0.075000,O3_confidence_latency_ratio,0.689655,0.714286,0.024631,0.034483,1.000000,1.000000,3,4,3,2,68921
000062,6,3,0.100000,O3_confidence_latency_ratio,0.689655,0.714286,0.024631,0.034483,1.000000,1.000000,3,4,3,2,68921
000062,6,3,0.125000,O3_confidence_latency_ratio,0.689655,0.714286,0.024631,0.034483,1.000000,1.000000,3,4,3,2,68921
000064,6,3,0.050000,O3_confidence_latency_ratio,0.689655,0.714286,0.024631,0.034483,1.000000,1.000000,3,4,3,2,68921
000064,6,3,0.075000,O3_confidence_latency_ratio,0.689655,0.714286,0.024631,0.034483,1.000000,1.000000,3,4,3,2,68921
000064,6,3,0.100000,O3_confidence_latency_ratio,0.689655,0.714286,0.024631,0.034483,1.000000,1.000000,3,4,3,2,68921
000064,6,3,0.125000,O3_confidence_latency_ratio,0.689655,0.714286,0.024631,0.034483,1.000000,1.000000,3,4,3,2,68921
000066,6,3,0.050000,O3_confidence_latency_ratio,0.689655,0.714286,0.024631,0.034483,1.000000,1.000000,3,4,3,2,68921
000066,6,3,0.075000,O3_confidence_latency_ratio,0.689655,0.714286,0.024631,0.034483,1.000000,1.000000,3,4,3,2,68921
000066,6,3,0.100000,O3_confidence_latency_ratio,0.689655,0.714286,0.024631,0.034483,1.000000,1.000000,3,4,3,2,68921
000066,6,3,0.125000,O3_confidence_latency_ratio,0.689655,0.714286,0.024631,0.034483,1.000000,1.000000,3,4,3,2,68921
000068,6,3,0.050000,O3_confidence_latency_ratio,0.689655,0.714286,0.024631,0.034483,1.000000,1.000000,3,4,3,2,68921
000068,6,3,0.075000,O3_confidence_latency_ratio,0.689655,0.714286,0.024631,0.034483,1.000000,1.000000,3,4,3,2,68921
000068,6,3,0.100000,O3_confidence_latency_ratio,0.689655,0.714286,0.024631,0.034483,1.000000,1.000000,3,4,3,2,68921
000068,6,3,0.125000,O3_confidence_latency_ratio,0.689655,0.714286,0.024631,0.034483,1.000000,1.000000,3,4,3,2,68921
000070,6,3,0.050000,O3_confidence_latency_ratio,0.740741,0.740741,0.000000,0.000000,1.000000,1.000000,3,3,2,2,68921
000070,6,3,0.075000,O3_confidence_latency_ratio,0.740741,0.740741,0.000000,0.000000,1.000000,1.000000,3,3,2,2,68921
000070,6,3,0.100000,O3_confidence_latency_ratio,0.740741,0.740741,0.000000,0.000000,1.000000,1.000000,3,3,2,2,68921
000070,6,3,0.125000,O3_confidence_latency_ratio,0.740741,0.740741,0.000000,0.000000,1.000000,1.000000,3,3,2,2,68921
000072,6,3,0.050000,O3_confidence_latency_ratio,0.689655,0.791111,0.101456,0.128245,1.000000,0.988889,3,3,3,1,68921
000072,6,3,0.075000,O3_confidence_latency_ratio,0.689655,0.791111,0.101456,0.128245,1.000000,0.988889,3,3,3,1,68921
000072,6,3,0.100000,O3_confidence_latency_ratio,0.689655,0.791111,0.101456,0.128245,1.000000,0.988889,3,3,3,1,68921
000072,6,3,0.125000,O3_confidence_latency_ratio,0.689655,0.791111,0.101456,0.128245,1.000000,0.988889,3,3,3,1,68921
000074,6,3,0.050000,O3_confidence_latency_ratio,0.740741,0.791111,0.050370,0.063671,1.000000,0.988889,3,3,2,1,68921
000074,6,3,0.075000,O3_confidence_latency_ratio,0.740741,0.791111,0.050370,0.063671,1.000000,0.988889,3,3,2,1,68921
000074,6,3,0.100000,O3_confidence_latency_ratio,0.740741,0.791111,0.050370,0.063671,1.000000,0.988889,3,3,2,1,68921
000074,6,3,0.125000,O3_confidence_latency_ratio,0.740741,0.791111,0.050370,0.063671,1.000000,0.988889,3,3,2,1,68921
000076,6,3,0.050000,O3_confidence_latency_ratio,0.740741,0.791111,0.050370,0.063671,1.000000,0.988889,3,3,2,1,68921
000076,6,3,0.075000,O3_confidence_latency_ratio,0.740741,0.791111,0.050370,0.063671,1.000000,0.988889,3,3,2,1,68921
000076,6,3,0.100000,O3_confidence_latency_ratio,0.740741,0.791111,0.050370,0.063671,1.000000,0.988889,3,3,2,1,68921
000076,6,3,0.125000,O3_confidence_latency_ratio,0.740741,0.791111,0.050370,0.063671,1.000000,0.988889,3,3,2,1,68921
000078,6,3,0.050000,O3_confidence_latency_ratio,0.740741,0.791111,0.050370,0.063671,1.000000,0.988889,3,3,2,1,68921
000078,6,3,0.075000,O3_confidence_latency_ratio,0.740741,0.791111,0.050370,0.063671,1.000000,0.988889,3,3,2,1,68921
000078,6,3,0.100000,O3_confidence_latency_ratio,0.740741,0.791111,0.050370,0.063671,1.000000,0.988889,3,3,2,1,68921
000078,6,3,0.125000,O3_confidence_latency_ratio,0.740741,0.791111,0.050370,0.063671,1.000000,0.988889,3,3,2,1,68921
000080,6,3,0.050000,O3_confidence_latency_ratio,0.740741,0.791111,0.050370,0.063671,1.000000,0.988889,3,3,2,1,68921
