line_no,frame_index,trace_layer,event,request_id,source_node,target_node,tb_size,subchannel_start,subchannel_num,slot,harq_id,sinr,tbler,reason,raw_event,timestamp,area_id,upload_type,plan_index,pkt_id,matched
1457,2,PHY,PSSCH_DECODE_OK,22,17,1,83,,,,5,-nan,0.0001,,[NRSL_PHY_EVENT] event=PSSCH_DECODE_OK request_ids=22 txRnti=17 sender_l2_id=17 receiver_l2_id=1 harq_id=5 tb_size=83 tbler=0.0001 sinr=-nan sinrMin=1e+11 reason=,000064,12_9,leader_to_rsu,114,114,1
1459,2,PHY,PSSCH_DECODE_OK,21,4,1,83,,,,5,-nan,0.0001,,[NRSL_PHY_EVENT] event=PSSCH_DECODE_OK request_ids=21 txRnti=4 sender_l2_id=4 receiver_l2_id=1 harq_id=5 tb_size=83 tbler=0.0001 sinr=-nan sinrMin=1e+11 reason=,000064,12_7,leader_to_rsu,113,113,1
1461,2,PHY,PSSCH_DECODE_OK,18,21,1,400,,,,6,-nan,0,,[NRSL_PHY_EVENT] event=PSSCH_DECODE_OK request_ids=18 txRnti=21 sender_l2_id=21 receiver_l2_id=1 harq_id=6 tb_size=400 tbler=0 sinr=-nan sinrMin=1e+11 reason=,000064,11_8,leader_to_rsu,110,110,1
1463,2,PHY,PSSCH_DECODE_OK,26,19,1,400,,,,6,-nan,0,,[NRSL_PHY_EVENT] event=PSSCH_DECODE_OK request_ids=26 txRnti=19 sender_l2_id=19 receiver_l2_id=1 harq_id=6 tb_size=400 tbler=0 sinr=-nan sinrMin=1e+11 reason=,000064,11_5,leader_to_rsu,118,118,1
1465,2,PHY,PSSCH_DECODE_OK,20,9,1,400,,,,6,-nan,0,,[NRSL_PHY_EVENT] event=PSSCH_DECODE_OK request_ids=20 txRnti=9 sender_l2_id=9 receiver_l2_id=1 harq_id=6 tb_size=400 tbler=0 sinr=-nan sinrMin=1e+11 reason=,000064,12_3,leader_to_rsu,112,112,1
1467,2,PHY,PSSCH_DECODE_OK,2,5,16,400,,,,6,-nan,0,,[NRSL_PHY_EVENT] event=PSSCH_DECODE_OK request_ids=2 txRnti=5 sender_l2_id=5 receiver_l2_id=16 harq_id=6 tb_size=400 tbler=0 sinr=-nan sinrMin=1e+11 reason=,000064,11_8,member_to_leader,94,94,1
1606,2,PHY,PSSCH_DECODE_OK,23,13,1,400,,,,7,-nan,0,,[NRSL_PHY_EVENT] event=PSSCH_DECODE_OK request_ids=23 txRnti=13 sender_l2_id=13 receiver_l2_id=1 harq_id=7 tb_size=400 tbler=0 sinr=-nan sinrMin=1e+11 reason=,000064,13_0,leader_to_rsu,115,115,1
1608,2,PHY,PSSCH_DECODE_OK,20,9,1,400,,,,7,-nan,0,,[NRSL_PHY_EVENT] event=PSSCH_DECODE_OK request_ids=20 txRnti=9 sender_l2_id=9 receiver_l2_id=1 harq_id=7 tb_size=400 tbler=0 sinr=-nan sinrMin=1e+11 reason=,000064,12_3,leader_to_rsu,112,112,1
1610,2,PHY,PSSCH_DECODE_OK,17,3,1,400,,,,7,-nan,0,,[NRSL_PHY_EVENT] event=PSSCH_DECODE_OK request_ids=17 txRnti=3 sender_l2_id=3 receiver_l2_id=1 harq_id=7 tb_size=400 tbler=0 sinr=-nan sinrMin=1e+11 reason=,000064,11_7,leader_to_rsu,109,109,1
1612,2,PHY,PSSCH_DECODE_OK,25,2,1,400,,,,7,-nan,0,,[NRSL_PHY_EVENT] event=PSSCH_DECODE_OK request_ids=25 txRnti=2 sender_l2_id=2 receiver_l2_id=1 harq_id=7 tb_size=400 tbler=0 sinr=-nan sinrMin=1e+11 reason=,000064,14_10,leader_to_rsu,117,117,1
