frame_index,timestamp,planned_requests,observed_cam_received,bridge_observed_delivery_ratio,planned_bytes,observed_bytes,avg_delay_ms,p95_delay_ms,max_delay_ms
0,000060,46,12,0.2608695652173913,125888,24000,19.0,14.0,101.0
1,000062,46,11,0.2391304347826087,121456,33104,63.90909090909091,192.0,192.0
2,000064,45,27,0.6,105056,69552,77.07407407407408,111.0,121.0
