line_no,channel,status,tx_rnti,dst_l2_id,harq_id,tb_size,tbler,sinr_avg,sinr_min,reason,frame,subframe,slot
7682,PSSCH,OK,13,,,,,,,,,,
7685,PSSCH,OK,14,17,15,400,0,-nan,100000000000.0,,,,
7811,PSSCH,OK,14,17,0,400,0,-nan,100000000000.0,,,,
7920,PSSCH,OK,14,17,1,400,0,-nan,100000000000.0,,,,
8003,PSSCH,OK,20,2,14,400,0,-nan,100000000000.0,,,,
8005,PSSCH,OK,16,5,8,3,0,-nan,100000000000.0,,,,
8007,PSSCH,OK,21,12,1,400,0,-nan,100000000000.0,,,,
8009,PSSCH,OK,14,17,2,400,0,-nan,100000000000.0,,,,
8081,PSSCH,OK,20,2,15,400,0,-nan,100000000000.0,,,,
8083,PSSCH,OK,21,12,2,400,0,-nan,100000000000.0,,,,
8085,PSSCH,OK,14,17,3,400,0,-nan,100000000000.0,,,,
8152,PSSCH,OK,20,2,0,195,0,-nan,100000000000.0,,,,
8154,PSSCH,OK,21,12,3,400,0,-nan,100000000000.0,,,,
8156,PSSCH,OK,14,17,4,400,0,-nan,100000000000.0,,,,
8207,PSSCH,OK,21,12,4,400,0,-nan,100000000000.0,,,,
8209,PSSCH,OK,14,17,5,400,0,-nan,100000000000.0,,,,
8259,PSSCH,OK,21,12,5,400,0,-nan,100000000000.0,,,,
8261,PSSCH,OK,14,17,6,400,0,-nan,100000000000.0,,,,
8311,PSSCH,OK,21,12,6,400,0,-nan,100000000000.0,,,,
8313,PSSCH,OK,14,17,7,400,0,-nan,100000000000.0,,,,
8363,PSSCH,OK,21,12,7,400,0,-nan,100000000000.0,,,,
8365,PSSCH,OK,14,17,8,400,0,-nan,100000000000.0,,,,
8415,PSSCH,OK,21,12,8,400,0,-nan,100000000000.0,,,,
8417,PSSCH,OK,14,17,9,400,0,-nan,100000000000.0,,,,
8463,PSSCH,OK,21,12,9,3,0,-nan,100000000000.0,,,,
8465,PSSCH,OK,14,17,10,400,0,-nan,100000000000.0,,,,
8493,PSSCH,OK,14,17,11,400,0,-nan,100000000000.0,,,,
8557,PSSCH,OK,14,17,12,400,0,-nan,100000000000.0,,,,
8610,PSSCH,OK,14,17,13,400,0,-nan,100000000000.0,,,,
8726,PSSCH,OK,20,2,1,400,0,-nan,100000000000.0,,,,
8728,PSSCH,OK,21,3,10,400,0,-nan,100000000000.0,,,,
8730,PSSCH,OK,14,17,14,400,0,-nan,100000000000.0,,,,
8835,PSSCH,OK,20,2,2,400,0,-nan,100000000000.0,,,,
8837,PSSCH,OK,21,3,11,400,0,-nan,100000000000.0,,,,
8839,PSSCH,OK,14,9,15,400,0,-nan,100000000000.0,,,,
8841,PSSCH,OK,19,16,3,400,0,-nan,100000000000.0,,,,
8843,PSSCH,OK,5,16,3,400,0,-nan,100000000000.0,,,,
8950,PSSCH,OK,20,2,3,400,0,-nan,100000000000.0,,,,
8952,PSSCH,OK,21,3,12,400,0,-nan,100000000000.0,,,,
8954,PSSCH,OK,14,9,0,400,0,-nan,100000000000.0,,,,
8956,PSSCH,OK,19,16,4,400,0,-nan,100000000000.0,,,,
8958,PSSCH,OK,5,16,4,400,0,-nan,100000000000.0,,,,
9065,PSSCH,OK,20,2,4,400,0,-nan,100000000000.0,,,,
9067,PSSCH,OK,21,3,13,400,0,-nan,100000000000.0,,,,
9069,PSSCH,OK,19,16,5,400,0,-nan,100000000000.0,,,,
9071,PSSCH,OK,5,16,5,400,0,-nan,100000000000.0,,,,
9073,PSSCH,OK,14,17,1,400,0,-nan,100000000000.0,,,,
9192,PSSCH,OK,20,2,5,400,0,-nan,100000000000.0,,,,
9194,PSSCH,OK,21,3,14,400,0,-nan,100000000000.0,,,,
9196,PSSCH,OK,14,9,2,400,0,-nan,100000000000.0,,,,
9198,PSSCH,OK,19,16,6,400,0,-nan,100000000000.0,,,,
9200,PSSCH,OK,5,16,6,35,0,-nan,100000000000.0,,,,
9315,PSSCH,OK,20,2,6,400,0,-nan,100000000000.0,,,,
9317,PSSCH,OK,13,,,,,,,,,,
9320,PSSCH,OK,19,16,7,83,0.0001,-nan,100000000000.0,,,,
9322,PSSCH,OK,14,17,3,400,0,-nan,100000000000.0,,,,
9414,PSSCH,OK,20,2,7,400,0,-nan,100000000000.0,,,,
9416,PSSCH,OK,21,3,0,400,0,-nan,100000000000.0,,,,
9418,PSSCH,OK,14,9,4,400,0,-nan,100000000000.0,,,,
9495,PSSCH,OK,21,3,1,355,0,-nan,100000000000.0,,,,
9497,PSSCH,OK,14,17,5,400,0,-nan,100000000000.0,,,,
9525,PSSCH,OK,14,9,6,400,0,-nan,100000000000.0,,,,
9552,PSSCH,OK,14,17,7,400,0,-nan,100000000000.0,,,,
9579,PSSCH,OK,14,9,8,400,0,-nan,100000000000.0,,,,
9606,PSSCH,OK,14,17,9,400,0,-nan,100000000000.0,,,,
9633,PSSCH,OK,14,9,10,400,0,-nan,100000000000.0,,,,
9660,PSSCH,OK,14,17,11,400,0,-nan,100000000000.0,,,,
9687,PSSCH,OK,14,9,12,400,0,-nan,100000000000.0,,,,
9720,PSSCH,OK,14,17,13,400,0,-nan,100000000000.0,,,,
9765,PSSCH,OK,14,9,14,400,0,-nan,100000000000.0,,,,
9767,PSSCH,OK,21,12,2,34,0,-nan,100000000000.0,,,,
9795,PSSCH,OK,14,17,15,400,0,-nan,100000000000.0,,,,
9839,PSSCH,OK,14,9,0,400,0,-nan,100000000000.0,,,,
9869,PSSCH,OK,14,17,1,400,0,-nan,100000000000.0,,,,
9896,PSSCH,OK,14,9,2,400,0,-nan,100000000000.0,,,,
9923,PSSCH,OK,14,17,3,400,0,-nan,100000000000.0,,,,
9950,PSSCH,OK,14,19,4,400,0,-nan,100000000000.0,,,,
9981,PSSCH,OK,14,9,5,400,0,-nan,100000000000.0,,,,
10030,PSSCH,OK,5,16,7,10,0,-nan,100000000000.0,,,,
10032,PSSCH,OK,14,17,6,400,0,-nan,100000000000.0,,,,
10078,PSSCH,OK,19,16,9,12,0.0005,-nan,100000000000.0,,,,
10115,PSSCH,OK,14,9,8,400,0,-nan,100000000000.0,,,,
10173,PSSCH,OK,20,2,9,16,0,-nan,100000000000.0,,,,
10175,PSSCH,OK,21,3,3,16,0,-nan,100000000000.0,,,,
10177,PSSCH,OK,14,17,9,400,0,-nan,100000000000.0,,,,
10211,PSSCH,OK,14,19,10,67,0.0001,-nan,100000000000.0,,,,
10235,PSSCH,OK,14,9,11,400,0,-nan,100000000000.0,,,,
10262,PSSCH,OK,14,17,12,67,0.0001,-nan,100000000000.0,,,,
10289,PSSCH,OK,14,9,13,400,0,-nan,100000000000.0,,,,
10316,PSSCH,OK,14,9,14,400,0,-nan,100000000000.0,,,,
10343,PSSCH,OK,14,9,15,400,0,-nan,100000000000.0,,,,
10370,PSSCH,OK,14,9,0,400,0,-nan,100000000000.0,,,,
10397,PSSCH,OK,14,9,1,400,0,-nan,100000000000.0,,,,
10424,PSSCH,OK,14,9,2,400,0,-nan,100000000000.0,,,,
10451,PSSCH,OK,14,9,3,400,0,-nan,100000000000.0,,,,
10531,PSSCH,OK,14,9,4,400,0,-nan,100000000000.0,,,,
10605,PSSCH,OK,14,9,5,400,0,-nan,100000000000.0,,,,
10758,PSSCH,OK,17,1,7,400,0,-nan,100000000000.0,,,,
10760,PSSCH,OK,13,,,,,,,,,,
10763,PSSCH,OK,2,1,2,400,0,-nan,100000000000.0,,,,
10765,PSSCH,OK,19,1,10,400,0,-nan,100000000000.0,,,,
10767,PSSCH,OK,21,1,4,400,0,-nan,100000000000.0,,,,
10924,PSSCH,OK,12,1,8,400,0,-nan,100000000000.0,,,,
10926,PSSCH,OK,9,1,12,400,0,-nan,100000000000.0,,,,
10928,PSSCH,OK,17,1,8,400,0,-nan,100000000000.0,,,,
10930,PSSCH,OK,4,1,4,400,0,-nan,100000000000.0,,,,
10932,PSSCH,OK,13,,,,,,,,,,
10935,PSSCH,OK,3,1,8,400,0,-nan,100000000000.0,,,,
10937,PSSCH,OK,2,1,3,400,0,-nan,100000000000.0,,,,
10939,PSSCH,OK,19,1,11,400,0,-nan,100000000000.0,,,,
10941,PSSCH,OK,21,1,5,400,0,-nan,100000000000.0,,,,
10943,PSSCH,OK,14,1,7,400,0,-nan,100000000000.0,,,,
11105,PSSCH,OK,12,1,9,400,0,-nan,100000000000.0,,,,
11107,PSSCH,OK,9,1,13,400,0,-nan,100000000000.0,,,,
11109,PSSCH,OK,17,1,9,400,0,-nan,100000000000.0,,,,
11111,PSSCH,OK,4,1,5,400,0,-nan,100000000000.0,,,,
11113,PSSCH,OK,13,,,,,,,,,,
11116,PSSCH,OK,2,1,4,400,0,-nan,100000000000.0,,,,
11118,PSSCH,OK,19,1,12,400,0,-nan,100000000000.0,,,,
11120,PSSCH,OK,21,1,6,400,0,-nan,100000000000.0,,,,
11280,PSSCH,OK,12,1,10,400,0,-nan,100000000000.0,,,,
11282,PSSCH,OK,9,1,14,400,0,-nan,100000000000.0,,,,
11284,PSSCH,OK,17,1,10,400,0,-nan,100000000000.0,,,,
11286,PSSCH,OK,4,1,6,400,0,-nan,100000000000.0,,,,
11288,PSSCH,OK,13,,,,,,,,,,
11291,PSSCH,OK,3,1,10,400,0,-nan,100000000000.0,,,,
11293,PSSCH,OK,2,1,5,400,0,-nan,100000000000.0,,,,
11295,PSSCH,OK,19,1,13,400,0,-nan,100000000000.0,,,,
11297,PSSCH,OK,21,1,7,400,0,-nan,100000000000.0,,,,
11299,PSSCH,OK,14,1,9,400,0,-nan,100000000000.0,,,,
11461,PSSCH,OK,12,1,11,400,0,-nan,100000000000.0,,,,
11463,PSSCH,OK,9,1,15,400,0,-nan,100000000000.0,,,,
11465,PSSCH,OK,17,1,11,400,0,-nan,100000000000.0,,,,
11467,PSSCH,OK,4,1,7,400,0,-nan,100000000000.0,,,,
11469,PSSCH,OK,13,,,,,,,,,,
11472,PSSCH,OK,2,1,6,400,0,-nan,100000000000.0,,,,
11474,PSSCH,OK,19,1,14,400,0,-nan,100000000000.0,,,,
11476,PSSCH,OK,21,1,8,400,0,-nan,100000000000.0,,,,
11600,PSSCH,OK,12,1,12,83,0.0001,-nan,100000000000.0,,,,
11602,PSSCH,OK,9,1,0,83,0.0001,-nan,100000000000.0,,,,
11604,PSSCH,OK,17,1,12,83,0.0001,-nan,100000000000.0,,,,
11606,PSSCH,OK,4,1,8,83,0.0001,-nan,100000000000.0,,,,
11608,PSSCH,OK,13,,,,,,,,,,
11611,PSSCH,OK,3,1,12,83,0.0001,-nan,100000000000.0,,,,
11613,PSSCH,OK,2,1,7,83,0.0001,-nan,100000000000.0,,,,
11615,PSSCH,OK,19,1,15,83,0.0001,-nan,100000000000.0,,,,
11617,PSSCH,OK,21,1,9,83,0.0001,-nan,100000000000.0,,,,
11619,PSSCH,OK,14,1,11,400,0,-nan,100000000000.0,,,,
11660,PSSCH,OK,14,9,12,400,0,-nan,100000000000.0,,,,
11687,PSSCH,OK,14,1,13,400,0,-nan,100000000000.0,,,,
11719,PSSCH,OK,14,9,14,400,0,-nan,100000000000.0,,,,
11743,PSSCH,OK,14,1,15,400,0,-nan,100000000000.0,,,,
11770,PSSCH,OK,14,19,0,6,0.0001,-nan,100000000000.0,,,,
11794,PSSCH,OK,14,9,1,400,0,-nan,100000000000.0,,,,
11818,PSSCH,OK,14,1,2,83,0.0001,-nan,100000000000.0,,,,
11845,PSSCH,OK,14,17,3,68,0.0001,-nan,100000000000.0,,,,
11868,PSSCH,OK,14,9,4,400,0,-nan,100000000000.0,,,,
11891,PSSCH,OK,14,9,5,195,0,-nan,100000000000.0,,,,
12103,PSSCH,OK,4,1,9,400,0,-nan,100000000000.0,,,,
12105,PSSCH,OK,3,1,13,400,0,-nan,100000000000.0,,,,
12107,PSSCH,OK,2,1,8,400,0,-nan,100000000000.0,,,,
12109,PSSCH,OK,19,1,0,400,0,-nan,100000000000.0,,,,
12251,PSSCH,OK,5,1,9,400,0,-nan,100000000000.0,,,,
12253,PSSCH,OK,20,1,11,400,0,-nan,100000000000.0,,,,
12255,PSSCH,OK,4,1,10,400,0,-nan,100000000000.0,,,,
12257,PSSCH,OK,16,1,11,400,0,-nan,100000000000.0,,,,
12259,PSSCH,OK,3,1,14,400,0,-nan,100000000000.0,,,,
12261,PSSCH,OK,2,1,9,400,0,-nan,100000000000.0,,,,
12263,PSSCH,OK,19,1,1,400,0,-nan,100000000000.0,,,,
