frame_index,timestamp,request_id,source_node,target_node,area_id,upload_type,plan_index,planned_bytes,tx_events,rx_events,drop_events,tx_bytes,rx_bytes,drop_bytes,matched,has_rlc_tx,has_rlc_rx,has_rlc_drop,rlc_complete,rlc_partial,rlc_no_rx
1,000062,47,20,5,12_9,member_to_leader,47,13184,35,35,0,13335,13335,0,1,1,1,0,1,0,0
1,000062,48,9,19,11_8,member_to_leader,48,6320,18,10,0,6437,3237,0,1,1,1,0,0,1,0
1,000062,49,8,1,15_3,member_to_leader,49,4112,12,4,0,4595,1395,0,1,1,1,0,0,1,0
1,000062,50,4,12,16_8,member_to_leader,50,3120,10,1,0,3512,3,0,1,1,1,0,0,1,0
1,000062,51,1,8,14_3,member_to_leader,51,2816,9,0,0,2915,0,0,1,1,0,0,0,0,1
1,000062,52,12,4,16_5,member_to_leader,52,2736,9,0,0,3219,0,0,1,1,0,0,0,0,1
1,000062,53,7,20,13_9,member_to_leader,53,2320,8,0,0,2417,0,0,1,1,0,0,0,0,1
1,000062,54,10,9,11_7,member_to_leader,54,2224,7,0,0,2319,0,0,1,1,0,0,0,0,1
1,000062,55,2,11,13_2,member_to_leader,55,1920,7,7,0,2015,2015,0,1,1,1,0,1,0,0
1,000062,56,20,16,12_10,member_to_leader,56,12112,32,29,0,12257,11057,0,1,1,1,0,0,1,0
1,000062,57,9,10,11_5,member_to_leader,57,3072,9,8,0,3171,2771,0,1,1,1,0,0,1,0
1,000062,58,8,1,15_2,member_to_leader,58,2992,8,7,0,2713,2416,0,1,1,1,0,0,1,0
1,000062,59,7,4,15_8,member_to_leader,59,2000,7,6,0,2095,1695,0,1,1,1,0,0,1,0
1,000062,60,12,4,17_5,member_to_leader,60,1536,5,5,0,1245,1245,0,1,1,1,0,1,0,0
1,000062,61,4,12,18_7,member_to_leader,61,208,0,0,0,0,0,0,1,0,0,0,0,0,0
1,000062,62,20,7,14_11,member_to_leader,62,784,4,3,0,873,473,0,1,1,1,0,0,1,0
1,000062,63,10,21,11_4,leader_to_rsu,63,2000,7,4,0,2483,1283,0,1,1,1,0,0,1,0
1,000062,64,9,21,11_7,leader_to_rsu,64,2000,7,6,0,2095,2083,0,1,1,1,0,0,1,0
1,000062,65,19,21,11_8,leader_to_rsu,65,2000,7,5,0,2095,1683,0,1,1,1,0,0,1,0
1,000062,66,16,21,12_10,leader_to_rsu,66,2000,7,5,0,2095,1683,0,1,1,1,0,0,1,0
1,000062,67,11,21,12_3,leader_to_rsu,67,2000,7,6,0,2483,2083,0,1,1,1,0,0,1,0
