method,budget,frames,selected_mean,non_ego_selected_mean,area_agent_rows_mean,slice_points_total,slice_points_mean,slice_bytes_total,slice_bytes_mean,bytes_per_point,ap_03,ap_05,ap_07,gt_total,pred_samples
area_aware_union,10,11,10.000000,9.000000,270.000000,192270,17479.090909,3076320,279665.454545,16,0.678388,0.676678,0.538273,691,502
area_aware_union,5,11,5.000000,4.000000,120.000000,80383,7307.545455,1286128,116920.727273,16,0.405018,0.396807,0.251957,573,321
comm_aware_topk,10,11,10.000000,9.000000,270.000000,203332,18484.727273,3253312,295755.636364,16,0.688703,0.686146,0.545736,709,510
comm_aware_topk,5,11,5.000000,4.000000,120.000000,99090,9008.181818,1585440,144130.909091,16,0.452105,0.443572,0.296352,624,346
confidence_topk,10,11,10.000000,9.000000,270.000000,184785,16798.636364,2956560,268778.181818,16,0.629379,0.624088,0.436000,692,476
confidence_topk,5,11,5.000000,4.000000,120.000000,79413,7219.363636,1270608,115509.818182,16,0.358450,0.345556,0.221396,573,263
full,10,11,20.000000,19.000000,570.000000,288278,26207.090909,4612448,419313.454545,16,0.851209,0.839868,0.526521,782,674
full,5,11,20.000000,19.000000,570.000000,288278,26207.090909,4612448,419313.454545,16,0.851209,0.839868,0.525203,782,674
random,10,11,10.000000,9.000000,270.000000,140662,12787.454545,2250592,204599.272727,16,0.611342,0.598993,0.380556,730,482
random,5,11,5.000000,4.000000,120.000000,61693,5608.454545,987088,89735.272727,16,0.331922,0.314671,0.165521,586,287
