scenario_id,timestamp,method,budget,planned_areas,selected_agents,non_ego_agents,non_ego_count,area_agent_rows,slice_points,slice_bytes
2026_07_15_02_33_21,000068,confidence_topk,5,30,1;12;4;13;10,12;4;13;10,4,120,7096,113536
2026_07_15_02_33_21,000068,comm_aware_topk,5,30,1;4;12;11;10,4;12;11;10,4,120,8910,142560
2026_07_15_02_33_21,000068,area_aware_union,5,30,1;12;10;20;13,12;10;20;13,4,120,6777,108432
2026_07_15_02_33_21,000068,full,10,30,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,570,25987,415792
2026_07_15_02_33_21,000068,random,10,30,1;16;6;9;19;20;3;2;12;5,16;6;9;19;20;3;2;12;5,9,270,12342,197472
2026_07_15_02_33_21,000068,confidence_topk,10,30,1;12;4;13;10;20;7;9;16;11,12;4;13;10;20;7;9;16;11,9,270,16616,265856
2026_07_15_02_33_21,000068,comm_aware_topk,10,30,1;4;12;11;10;13;20;7;9;8,4;12;11;10;13;20;7;9;8,9,270,19447,311152
2026_07_15_02_33_21,000068,area_aware_union,10,30,1;12;10;20;13;11;14;7;8;4,12;10;20;13;11;14;7;8;4,9,270,17766,284256
2026_07_15_02_33_21,000070,full,5,30,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,570,25738,411808
2026_07_15_02_33_21,000070,random,5,30,1;9;4;17;14,9;4;17;14,4,120,3726,59616
2026_07_15_02_33_21,000070,confidence_topk,5,30,1;12;4;13;10,12;4;13;10,4,120,6969,111504
2026_07_15_02_33_21,000070,comm_aware_topk,5,30,1;4;12;10;11,4;12;10;11,4,120,8767,140272
2026_07_15_02_33_21,000070,area_aware_union,5,30,1;12;10;20;13,12;10;20;13,4,120,6814,109024
2026_07_15_02_33_21,000070,full,10,30,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,570,25738,411808
2026_07_15_02_33_21,000070,random,10,30,1;20;4;6;5;15;9;7;12;10,20;4;6;5;15;9;7;12;10,9,270,16575,265200
2026_07_15_02_33_21,000070,confidence_topk,10,30,1;12;4;13;10;20;7;9;16;11,12;4;13;10;20;7;9;16;11,9,270,16422,262752
2026_07_15_02_33_21,000070,comm_aware_topk,10,30,1;4;12;10;11;13;20;7;9;8,4;12;10;11;13;20;7;9;8,9,270,19233,307728
2026_07_15_02_33_21,000070,area_aware_union,10,30,1;12;10;20;13;11;14;7;8;4,12;10;20;13;11;14;7;8;4,9,270,17544,280704
2026_07_15_02_33_21,000072,full,5,30,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,570,25657,410512
2026_07_15_02_33_21,000072,random,5,30,1;3;9;16;11,3;9;16;11,4,120,4860,77760
2026_07_15_02_33_21,000072,confidence_topk,5,30,1;12;4;13;10,12;4;13;10,4,120,7143,114288
