scenario_id,timestamp,planned_areas,unique_group_inference_calls,leader_local_pred_boxes,leader_local_gt_boxes,rsu_fused_pred_boxes,rsu_fused_gt_boxes
2026_07_15_02_33_21,000060,20,16,28,28,27,28
2026_07_15_02_33_21,000062,20,18,29,28,28,28
2026_07_15_02_33_21,000064,20,18,26,29,26,29
2026_07_15_02_33_21,000066,20,18,27,29,27,29
2026_07_15_02_33_21,000068,20,18,26,29,26,29
2026_07_15_02_33_21,000070,20,18,27,29,27,29
2026_07_15_02_33_21,000072,20,18,26,30,26,30
2026_07_15_02_33_21,000074,20,18,26,30,25,30
2026_07_15_02_33_21,000076,20,17,25,29,25,29
2026_07_15_02_33_21,000078,20,18,26,29,25,29
2026_07_15_02_33_21,000080,20,17,27,29,27,29
