objective,delta_g,instances,mean_relative_gap,median_relative_gap,p90_relative_gap,max_relative_gap,mean_absolute_gap
O1_confidence_only,0.050000,11,0.000000,0.000000,0.000000,0.000000,0.000000
O1_confidence_only,0.075000,11,0.000000,0.000000,0.000000,0.000000,0.000000
O1_confidence_only,0.100000,11,0.000000,0.000000,0.000000,0.000000,0.000000
O1_confidence_only,0.125000,11,0.000000,0.000000,0.000000,0.000000,0.000000
O2_confidence_minus_size,0.050000,11,0.000000,0.000000,0.000000,0.000000,0.000000
O2_confidence_minus_size,0.075000,11,0.000000,0.000000,0.000000,0.000000,0.000000
O2_confidence_minus_size,0.100000,11,0.000000,0.000000,0.000000,0.000000,0.000000
O2_confidence_minus_size,0.125000,11,0.000000,0.000000,0.000000,0.000000,0.000000
