scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000064,12,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,4;12,12;4,4,"{""4"": 60}","{""4"": 4872, ""12"": 4896}",77952,43.35483870967742,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],4>12:1,,16,35,
2026_07_15_01_26_56,000064,15,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,6;15,15;6,6,"{""6"": 59}","{""6"": 4595, ""15"": 4750}",73520,40.88987764182425,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],6>15:2,,16,17,
2026_07_15_01_26_56,000064,16,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,5;7;16;20,16;7;20,7;20,"{""7"": 58, ""20"": 53}","{""7"": 4911, ""16"": 4850, ""20"": 4908}",157104,43.701890989988875,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],7>16:3;20>16:8,,19,31,
2026_07_15_01_26_56,000064,17,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,3;14;17;18,17;3;14,3;14,"{""3"": 61, ""14"": 55}","{""3"": 4976, ""14"": 5060, ""17"": 4966}",160576,45.027808676307004,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],3>17:4;14>17:9,,9,15,
2026_07_15_01_26_56,000064,19,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,9;10;13;19,19;10;9,10;9,"{""9"": 51, ""10"": 57}","{""9"": 4856, ""10"": 4948, ""19"": 4819}",156864,44.03114571746384,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],9>19:7;10>19:5,,13,33,
2026_07_15_01_26_56,000066,1,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,1;2;8;11,1;2;11,2;11,"{""2"": 56, ""11"": 58}","{""1"": 4922, ""2"": 4878, ""11"": 4913}",156656,43.71968854282536,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:6,,29,41,
2026_07_15_01_26_56,000066,12,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,4;7;12,12;7;4,7;4,"{""4"": 61, ""7"": 59}","{""4"": 4866, ""7"": 4902, ""12"": 4884}",156288,43.62180200222469,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],4>12:8;7>12:1,,27,42,
2026_07_15_01_26_56,000066,15,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,6;15,15;6,6,"{""6"": 58}","{""6"": 4590, ""15"": 4740}",73440,40.84538375973304,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],6>15:2,,14,17,
2026_07_15_01_26_56,000066,16,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,5;16;20,16;20,20,"{""20"": 53}","{""16"": 4854, ""20"": 4909}",78544,43.68409343715239,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],20>16:3,,18,25,
2026_07_15_01_26_56,000066,17,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,3;14;17;18,17;3;14,3;14,"{""3"": 64, ""14"": 57}","{""3"": 4982, ""14"": 5042, ""17"": 4984}",160384,44.86763070077864,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],3>17:4;14>17:9,,9,15,
2026_07_15_01_26_56,000066,19,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,9;10;13;19,19;10;9,10;9,"{""9"": 52, ""10"": 56}","{""9"": 4856, ""10"": 4946, ""19"": 4818}",156832,44.01334816462736,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],9>19:7;10>19:5,,8,34,
2026_07_15_01_26_56,000068,1,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,1;2;8;11,1;2;11,2;11,"{""2"": 57, ""11"": 58}","{""1"": 4924, ""2"": 4870, ""11"": 4911}",156496,43.701890989988875,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:6,,28,42,
2026_07_15_01_26_56,000068,4,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,4;9;12,4;9;12,9;12,"{""9"": 52, ""12"": 57}","{""4"": 4848, ""9"": 4858, ""12"": 4882}",155840,43.44382647385984,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],9>4:1;12>4:8,,21,43,
2026_07_15_01_26_56,000068,13,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,10;13;14;19,13;10;14,10;14,"{""10"": 58, ""14"": 58}","{""10"": 4934, ""13"": 4795, ""14"": 5028}",159392,44.743047830923246,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],10>13:2;14>13:9,,12,31,
2026_07_15_01_26_56,000068,15,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,6;15,15;6,6,"{""6"": 60}","{""6"": 4599, ""15"": 4743}",73584,40.925472747497224,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],6>15:3,,16,16,
2026_07_15_01_26_56,000068,16,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,5;7;16;20,16;7;20,7;20,"{""7"": 58, ""20"": 52}","{""7"": 4901, ""16"": 4887, ""20"": 4909}",156960,43.68409343715239,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],7>16:4;20>16:7,,22,29,
2026_07_15_01_26_56,000068,17,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,3;17;18,17;3,3,"{""3"": 63}","{""3"": 4987, ""17"": 4976}",79792,44.37819799777531,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],3>17:5,,9,15,
2026_07_15_01_26_56,000070,1,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,1;4;12,1;4;12,4;12,"{""4"": 58, ""12"": 59}","{""1"": 4925, ""4"": 4851, ""12"": 4888}",155824,43.4972191323693,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],4>1:0;12>1:8,,21,37,
2026_07_15_01_26_56,000070,11,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,2;8;9;11,11;9;2,9;2,"{""2"": 57, ""9"": 52}","{""2"": 4882, ""9"": 4857, ""11"": 4909}",155824,43.44382647385984,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],2>11:6;9>11:1,,30,45,
2026_07_15_01_26_56,000070,13,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,10;13;14;19,13;10;14,10;14,"{""10"": 56, ""14"": 56}","{""10"": 4949, ""13"": 4795, ""14"": 5031}",159680,44.76974416017798,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],10>13:2;14>13:9,,12,31,
2026_07_15_01_26_56,000070,15,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,6;15,15;6,6,"{""6"": 60}","{""6"": 4608, ""15"": 4740}",73728,41.0055617352614,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],6>15:3,,16,16,
2026_07_15_01_26_56,000070,16,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,5;7;16;20,16;7;20,7;20,"{""7"": 59, ""20"": 52}","{""7"": 4909, ""16"": 4856, ""20"": 4909}",157088,43.68409343715239,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],7>16:4;20>16:7,,21,29,
2026_07_15_01_26_56,000070,17,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,3;17;18,17;3,3,"{""3"": 61}","{""3"": 4953, ""17"": 4972}",79248,44.07563959955506,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],3>17:5,,8,15,
2026_07_15_01_26_56,000072,1,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,1;2;8;11,1;2;11,2;11,"{""2"": 57, ""11"": 57}","{""1"": 4928, ""2"": 4864, ""11"": 4908}",156352,43.67519466073415,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:6,,30,41,
2026_07_15_01_26_56,000072,4,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,4;9;12,4;9;12,9;12,"{""9"": 52, ""12"": 58}","{""4"": 4868, ""9"": 4857, ""12"": 4892}",155984,43.53281423804227,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],9>4:1;12>4:8,,23,42,
2026_07_15_01_26_56,000072,13,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,10;13;14;19,13;10;14,10;14,"{""10"": 57, ""14"": 61}","{""10"": 4930, ""13"": 4800, ""14"": 5044}",159584,44.885428253615125,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],10>13:2;14>13:9,,12,30,
2026_07_15_01_26_56,000072,15,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,6;15,15;6,6,"{""6"": 56}","{""6"": 4599, ""15"": 4748}",73584,40.925472747497224,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],6>15:3,,16,18,
2026_07_15_01_26_56,000072,16,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,5;7;16;20,16;7;20,7;20,"{""7"": 61, ""20"": 52}","{""7"": 4909, ""16"": 4868, ""20"": 4907}",157056,43.68409343715239,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],7>16:4;20>16:7,,20,28,
2026_07_15_01_26_56,000072,17,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,3;17;18,17;3,3,"{""3"": 63}","{""3"": 4951, ""17"": 4977}",79216,44.05784204671858,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],3>17:5,,11,15,
2026_07_15_01_26_56,000074,1,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,1;2;8;11,1;2;11,2;11,"{""2"": 54, ""11"": 57}","{""1"": 4931, ""2"": 4872, ""11"": 4906}",156448,43.657397107897665,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:6,,28,39,
2026_07_15_01_26_56,000074,12,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,4;7;12,12;7;4,7;4,"{""4"": 60, ""7"": 63}","{""4"": 4850, ""7"": 4926, ""12"": 4881}",156416,43.83537263626251,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],4>12:8;7>12:1,,21,43,
2026_07_15_01_26_56,000074,13,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,10;13;14;19,13;10;14,10;14,"{""10"": 58, ""14"": 61}","{""10"": 4948, ""13"": 4800, ""14"": 5017}",159440,44.645161290322584,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],10>13:2;14>13:9,,11,30,
2026_07_15_01_26_56,000074,15,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,6;15,15;6,6,"{""6"": 55}","{""6"": 4599, ""15"": 4753}",73584,40.925472747497224,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],6>15:3,,16,18,
2026_07_15_01_26_56,000074,17,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,3;17;18,17;3,3,"{""3"": 61}","{""3"": 4963, ""17"": 4954}",79408,44.16462736373749,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],3>17:4,,10,15,
2026_07_15_01_26_56,000074,20,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,5;9;16;20,20;9;16,9;16,"{""9"": 52, ""16"": 54}","{""9"": 4857, ""16"": 4872, ""20"": 4907}",155664,43.35483870967742,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],9>20:5;16>20:7,,24,32,
2026_07_15_01_26_56,000076,1,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,1;2;8;11,1;2;11,2;11,"{""2"": 54, ""11"": 57}","{""1"": 4934, ""2"": 4873, ""11"": 4905}",156448,43.64849833147942,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:6,,25,41,
2026_07_15_01_26_56,000076,4,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,4;9;12,4;12;9,12;9,"{""9"": 53, ""12"": 56}","{""4"": 4853, ""9"": 4859, ""12"": 4903}",156192,43.63070077864294,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],9>4:8;12>4:1,,19,42,
2026_07_15_01_26_56,000076,13,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,10;13;14;19,13;10;14,10;14,"{""10"": 59, ""14"": 61}","{""10"": 4943, ""13"": 4773, ""14"": 5022}",159440,44.689655172413794,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],10>13:2;14>13:9,,11,29,
2026_07_15_01_26_56,000076,15,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,6;15,15;6,6,"{""6"": 57}","{""6"": 4624, ""15"": 4754}",73984,41.14794215795328,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],6>15:3,,17,18,
2026_07_15_01_26_56,000076,16,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,5;7;16;20,16;7;20,7;20,"{""7"": 60, ""20"": 51}","{""7"": 4905, ""16"": 4885, ""20"": 4906}",156976,43.657397107897665,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],7>16:4;20>16:7,,20,28,
2026_07_15_01_26_56,000076,17,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,3;17;18,17;3,3,"{""3"": 65}","{""3"": 4935, ""17"": 5003}",78960,43.9154616240267,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],3>17:5,,12,16,
2026_07_15_01_26_56,000078,1,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,1;2;8;11,1;2;11,2;11,"{""2"": 53, ""11"": 57}","{""1"": 4934, ""2"": 4851, ""11"": 4907}",156128,43.66629588431591,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:6,,30,40,
2026_07_15_01_26_56,000078,4,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,4;9;12,4;12;9,12;9,"{""9"": 53, ""12"": 56}","{""4"": 4858, ""9"": 4857, ""12"": 4895}",156032,43.559510567296996,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],9>4:8;12>4:1,,18,44,
2026_07_15_01_26_56,000078,13,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,10;13;14;19,13;10;14,10;14,"{""10"": 55, ""14"": 63}","{""10"": 4935, ""13"": 4778, ""14"": 5015}",159200,44.6273637374861,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],10>13:2;14>13:9,,13,30,
2026_07_15_01_26_56,000078,15,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,6;15,15;6,6,"{""6"": 55}","{""6"": 4635, ""15"": 4753}",74160,41.24582869855395,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],6>15:3,,18,19,
2026_07_15_01_26_56,000078,16,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,5;7;16;20,16;7;20,7;20,"{""7"": 61, ""20"": 51}","{""7"": 4919, ""16"": 4880, ""20"": 4908}",157232,43.77308120133482,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],7>16:4;20>16:7,,20,27,
2026_07_15_01_26_56,000078,17,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,3;17;18,17;3,3,"{""3"": 64}","{""3"": 4932, ""17"": 4995}",78912,43.888765294771964,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],3>17:5,,8,16,
2026_07_15_01_26_56,000080,1,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,1;2;8;11,1;2;11,2;11,"{""2"": 53, ""11"": 57}","{""1"": 4933, ""2"": 4849, ""11"": 4908}",156112,43.67519466073415,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:6,,27,42,
2026_07_15_01_26_56,000080,4,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,4;9;12,4;12;9,12;9,"{""9"": 53, ""12"": 59}","{""4"": 4847, ""9"": 4858, ""12"": 4905}",156208,43.64849833147942,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],9>4:9;12>4:1,,19,46,
2026_07_15_01_26_56,000080,13,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,10;13;14;19,13;10;14,10;14,"{""10"": 58, ""14"": 64}","{""10"": 4924, ""13"": 4772, ""14"": 5031}",159280,44.76974416017798,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],10>13:2;14>13:8,,11,31,
2026_07_15_01_26_56,000080,15,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,6;15,15;6,6,"{""6"": 57}","{""6"": 4637, ""15"": 4751}",74192,41.263626251390434,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],6>15:3,,17,18,
