scenario_id,timestamp,receiver_id,receiver_policy,coperception_yaml,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,sgcp_frame_mbps_budget,sgcp_frame_budget_bytes,sgcp_frame_budget_original_bytes,sgcp_frame_budget_admitted_bytes,upload_density_cap_rho,upload_density_cap_seed,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_29_02_32_08,000062,13,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,13;14;19,13,,{},"{""13"": 13569}",0,0.0,10,40.0,60.0,10.0,125000,476608,124880,4.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,4,18,
2026_07_29_02_32_08,000062,15,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,6;15,15,,{},"{""15"": 13488}",0,0.0,10,40.0,60.0,10.0,125000,476608,124880,4.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,16,21,
2026_07_29_02_32_08,000062,16,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,5;16;20,16,,{},"{""16"": 13788}",0,0.0,10,40.0,60.0,10.0,125000,476608,124880,4.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,17,32,
2026_07_29_02_32_08,000062,17,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,3;17;18,17,,{},"{""17"": 14128}",0,0.0,10,40.0,60.0,10.0,125000,476608,124880,4.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,9,19,
2026_07_29_02_32_08,000064,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,1;2;8;11,1;2;11,2;11,"{""2"": 16, ""11"": 16}","{""1"": 13948, ""2"": 2134, ""11"": 3652}",92576,32.49833147942158,10,40.0,60.0,10.0,125000,478208,124864,4.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],2>1:8;11>1:0,,25,48,
2026_07_29_02_32_08,000064,10,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,9;10,10;9,9,"{""9"": 9}","{""9"": 2018, ""10"": 14075}",32288,17.95773081201335,10,40.0,60.0,10.0,125000,478208,124864,4.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],9>10:1,,16,40,
2026_07_29_02_32_08,000064,12,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,4;7;12,12,,{},"{""12"": 13868}",0,0.0,10,40.0,60.0,10.0,125000,478208,124864,4.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,16,38,
2026_07_29_02_32_08,000064,13,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,13;14;19,13,,{},"{""13"": 13570}",0,0.0,10,40.0,60.0,10.0,125000,478208,124864,4.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,3,18,
2026_07_29_02_32_08,000064,15,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,6;15,15,,{},"{""15"": 13466}",0,0.0,10,40.0,60.0,10.0,125000,478208,124864,4.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,17,21,
2026_07_29_02_32_08,000064,16,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,5;16;20,16,,{},"{""16"": 13804}",0,0.0,10,40.0,60.0,10.0,125000,478208,124864,4.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,15,34,
2026_07_29_02_32_08,000064,17,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,3;17;18,17,,{},"{""17"": 14138}",0,0.0,10,40.0,60.0,10.0,125000,478208,124864,4.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,7,18,
2026_07_29_02_32_08,000066,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,1;2;8;11,1;2;11,2;11,"{""2"": 16, ""11"": 16}","{""1"": 13953, ""2"": 2121, ""11"": 3629}",92000,32.293659621802,10,40.0,60.0,10.0,125000,482896,124800,4.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],2>1:7;11>1:0,,25,48,
2026_07_29_02_32_08,000066,12,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,4;7;12,12;7,7,"{""7"": 7}","{""7"": 2050, ""12"": 13863}",32800,18.24249165739711,10,40.0,60.0,10.0,125000,482896,124800,4.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],7>12:1,,17,47,
2026_07_29_02_32_08,000066,15,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,6;15,15,,{},"{""15"": 13477}",0,0.0,10,40.0,60.0,10.0,125000,482896,124800,4.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,18,20,
2026_07_29_02_32_08,000066,16,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,5;16;20,16,,{},"{""16"": 13800}",0,0.0,10,40.0,60.0,10.0,125000,482896,124800,4.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,19,33,
2026_07_29_02_32_08,000066,17,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,3;14;17;18,17,,{},"{""17"": 14142}",0,0.0,10,40.0,60.0,10.0,125000,482896,124800,4.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,9,18,
2026_07_29_02_32_08,000066,19,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,9;10;13;19,19,,{},"{""19"": 13700}",0,0.0,10,40.0,60.0,10.0,125000,482896,124800,4.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,2,23,
2026_07_29_02_32_08,000068,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,1;4;12,1;4;12,4;12,"{""4"": 16, ""12"": 14}","{""1"": 13961, ""4"": 2741, ""12"": 3940}",106896,35.06117908787542,10,40.0,60.0,10.0,125000,537728,124976,4.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],4>1:9;12>1:0,,30,56,
2026_07_29_02_32_08,000068,11,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,2;8;11;19,11;19,19,"{""19"": 3}","{""11"": 13865, ""19"": 1087}",17392,9.672969966629589,10,40.0,60.0,10.0,125000,537728,124976,4.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],19>11:1,,21,46,
2026_07_29_02_32_08,000068,13,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,9;10;13;14,13,,{},"{""13"": 13572}",0,0.0,10,40.0,60.0,10.0,125000,537728,124976,4.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,4,18,
2026_07_29_02_32_08,000068,15,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,6;15,15,,{},"{""15"": 13482}",0,0.0,10,40.0,60.0,10.0,125000,537728,124976,4.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,19,20,
2026_07_29_02_32_08,000068,16,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,5;7;16;20,16,,{},"{""16"": 13828}",0,0.0,10,40.0,60.0,10.0,125000,537728,124976,4.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,17,33,
