upload_type,planned_requests,observed_cam_received,bridge_observed_delivery_ratio,planned_bytes,observed_bytes,avg_delay_ms,p95_delay_ms,max_delay_ms
leader_to_rsu,330,47,0.14242424242424243,660000,94000,89.70212765957447,114.0,212.0
member_to_leader,174,8,0.04597701149425287,653568,22624,44.375,122.0,122.0
