line_no,frame_index,event,rnti,lcid,source_node,target_node,request_id,sn,fi,size,harq_id,bwp_id,layer,vr_ur,vr_uh,timestamp,area_id,upload_type,plan_index,pkt_id,matched
1872,1,TX,21,5,21,12,83,2,2,4,4,0,0,,,000062,,member_to_leader,83,83,1
1873,1,TX,20,5,20,2,81,2,2,4,4,0,0,,,000062,,member_to_leader,81,81,1
1896,1,RX,12,5,21,12,83,2,2,4,,,,,,000062,,member_to_leader,83,83,1
1919,1,RX,2,5,20,2,81,2,2,4,,,,,,000062,,member_to_leader,81,81,1
1920,1,TX,14,5,14,17,47,4,2,8,10,0,0,,,000062,,member_to_leader,47,47,1
1943,1,RX,17,5,14,17,47,4,2,8,,,,,,000062,,member_to_leader,47,47,1
2051,2,TX,14,5,14,17,93,5,1,4069,13,0,0,,,000064,,member_to_leader,93,93,1
2052,2,TX,16,5,16,1,111,4,0,2083,6,0,0,,,000064,,leader_to_rsu,111,111,1
2053,2,TX,3,5,3,21,99,1,0,2467,5,0,0,,,000064,,member_to_leader,99,99,1
2054,2,TX,2,5,2,1,98,3,0,2083,5,0,0,,,000064,,leader_to_rsu,98,98,1
2055,2,TX,13,5,13,1,97,1,0,2083,3,0,0,,,000064,,leader_to_rsu,97,97,1
2056,2,TX,21,5,21,3,120,1,0,3155,5,0,0,,,000064,,member_to_leader,120,120,1
2057,2,TX,16,5,16,5,108,1,0,4006,5,0,0,,,000064,,member_to_leader,108,108,1
2058,2,TX,19,5,19,1,104,4,0,2083,6,0,0,,,000064,,leader_to_rsu,104,104,1
2059,2,TX,2,5,2,20,112,1,0,1603,4,0,0,,,000064,,member_to_leader,112,112,1
2060,2,TX,9,5,9,1,117,1,0,2083,1,0,0,,,000064,,leader_to_rsu,117,117,1
2139,2,TX,14,5,14,1,137,1,0,2083,12,0,0,,,000064,,leader_to_rsu,137,137,1
2140,2,TX,20,5,20,1,105,2,0,2083,6,0,0,,,000064,,leader_to_rsu,105,105,1
2141,2,TX,21,5,21,12,126,3,1,4069,6,0,0,,,000064,,member_to_leader,126,126,1
2142,2,TX,5,5,5,16,110,3,0,3446,7,0,0,,,000064,,member_to_leader,110,110,1
2215,2,RX,17,5,14,17,93,5,1,4069,,,,,,000064,,member_to_leader,93,93,1
2221,2,TX,3,5,3,1,102,4,0,2083,6,0,0,,,000064,,leader_to_rsu,102,102,1
2222,2,TX,14,5,14,17,93,6,3,4069,14,0,0,,,000064,,member_to_leader,93,93,1
2223,2,TX,5,5,5,1,109,4,0,2083,8,0,0,,,000064,,leader_to_rsu,109,109,1
2224,2,TX,17,5,17,1,94,1,0,2083,1,0,0,,,000064,,leader_to_rsu,94,94,1
2345,2,TX,21,5,21,1,100,1,0,2083,7,0,0,,,000064,,leader_to_rsu,100,100,1
2346,2,TX,13,5,13,4,95,1,0,2131,2,0,0,,,000064,,member_to_leader,95,95,1
2455,2,TX,19,5,19,16,134,1,0,2275,7,0,0,,,000064,,member_to_leader,134,134,1
2456,2,TX,12,5,12,1,127,1,0,2083,1,0,0,,,000064,,leader_to_rsu,127,127,1
2578,2,TX,3,5,3,1,118,5,0,2083,8,0,0,,,000064,,leader_to_rsu,118,118,1
2579,2,TX,20,5,20,2,106,3,1,4069,5,0,0,,,000064,,member_to_leader,106,106,1
2580,2,TX,16,5,16,1,119,5,0,2083,7,0,0,,,000064,,leader_to_rsu,119,119,1
2581,2,TX,4,5,4,1,96,3,0,2083,3,0,0,,,000064,,leader_to_rsu,96,96,1
2625,2,TX,14,5,14,19,103,1,0,883,11,0,0,,,000064,,member_to_leader,103,103,1
